STATE	FILE
 NOK	almain.cpp
 NOK	amapmain.cpp
 NOK	ammain.cpp
 NOK	ammain_001.cpp
  OK	arrmain.cpp
 NOK	arrmain_001.cpp
 NOK	asmain.cpp
 NOK	as_main.cpp
 NOK	bdmmain.cpp
 NOK	bidirmain.cpp
 NOK	books.cpp
 NOK	bstrmain.cpp
 NOK	cgmain.cpp
 NOK	clmain.cpp
 NOK	cmmain.cpp
 NOK	contmapmain.cpp
 NOK	csetmain.cpp
 NOK	csmain.cpp
 NOK	cvecmain.cpp
 NOK	cvmain.cpp
 NOK	dirmain.cpp
 NOK	drsmain.cpp
 NOK	equmain.cpp
 NOK	fammain.cpp
 NOK	grmain.cpp
 NOK	grmain_001.cpp
 NOK	hashmain.cpp
 NOK	hmapmain.cpp
 NOK	immain.cpp
 NOK	lgmain.cpp
 NOK	mlsmain.cpp
 NOK	mmain.cpp
 NOK	mmmapmain.cpp
 NOK	mmvmain.cpp
 NOK	mscvmain.cpp
 NOK	msetmain.cpp
 NOK	msmain.cpp
 NOK	msmain_001.cpp
 NOK	multimain.cpp
 NOK	n_bag_main.cpp
 NOK	palstrmain.cpp
 NOK	prmain.cpp
 NOK	psmain.cpp
 NOK	pstrmain.cpp
 NOK	rcsmain.cpp
 NOK	repstrmain.cpp
 NOK	safevecmain.cpp
 NOK	setseqmain.cpp
 NOK	slmain.cpp
 NOK	slmain_001.cpp
 NOK	sqmain.cpp
 NOK	sqmain_001.cpp
 NOK	stamain.cpp
  OK	statmain.cpp
 NOK	strmain.cpp
 NOK	svecmain.cpp
 NOK	svmain.cpp
 NOK	uvmapmain.cpp
 NOK	vmmain.cpp
 NOK	vvmain2.cpp
 NOK	wgmain.cpp
